xpos,ypos,xvel,yvel
-8.0599,-11.731,22.757,-33.257
-4.2222,-14.209,41.193,-15.871
-3.1098,-13.492,13.102,-16.428
-3.939,-8.2672,1.5558,18.23
0.36588,-9.8465,42.199,-25.952
1.6189,-15.299,34.314,-35.618
5.7168,-21.143,58.79,-66.187
3.8364,-20.912,13.924,-26.119
-4.1856,-10.8,-47.578,9.5893
-9.5015,-0.62576,-21.019,73.295
-8.2096,9.9291,50.877,58.193
-8.6669,5.7081,-5.2403,22.442
3.0466,23.221,98.707,172.85
16.246,69.667,196.4,492.29
22.514,111.51,51.026,329.64
19.766,106.15,-47.261,22.005
-8.285,19.486,-32.429,3.9047
-12.318,9.3456,-18.747,44.548
-4.275,6.5632,41.057,-12.425
3.8881,3.5497,77.825,-20.143
7.5876,-1.6202,13.399,-28.675
12.812,-14.995,7.5304,-84.284
16.058,-20.959,42.495,-30.09
2.9082,-15.596,-26.001,44.725
-9.4326,-13.975,-47.541,-42.68
-1.3549,-20.202,33.227,-27.411
-3.7563,-13.986,-6.6347,36.826
-5.0434,-5.5881,-13.629,43.973
-6.2154,0.063241,-15.912,17.589
-7.9937,-2.4078,-11.766,-35.791
-10.413,-1.5729,7.6506,17.449
-8.9541,4.3305,-7.0084,86.336
-5.1758,6.7365,16.068,33.347
-4.9843,1.1644,-53.968,-0.789
-35.585,11.177,-312.35,176.61
-78.779,41.541,-337.17,305.14
-89.863,62.563,-81.48,169.7
-86.534,56.133,-28.571,-35.783
-24.68,17.045,-19.652,26.294
-13.274,12.426,29.469,20.327
-5.9054,0.3476,33.878,-91.825
-0.75951,-13.572,8.6886,-110.3
-0.047406,-17.048,-7.2545,-7.4673
-6.6094,-12.001,-40.93,52.901
-16,-3.1062,-33.937,39.272
-13.477,1.943,17.445,4.2765
-9.7967,-1.5841,24.901,-29.767
-4.5544,-5.9137,52.402,-22.476
-2.5716,-4.6406,0.26863,-3.1747
-18.252,-6.6784,-145.53,21.805
-22.042,-2.9151,-46.868,43.17
-17.105,-4.4547,41.872,11.207
-8.7237,-7.283,28.702,13.176
-0.11022,-9.0446,63.667,4.8055
-3.1629,-7.1349,-47.445,5.0639
-25.77,-18.321,-187.5,-114.54
-55.875,-37.89,-274.65,-165.67
-82.427,-53.525,-253.38,-154.12
-74.86,-59.031,22.255,-98.175
-58.548,-47.475,106.16,-5.1478
-9.9381,-4.7068,35.028,30.071
-8.212,1.5809,22.867,-46.075
-1.9334,-3.6323,46.836,-66.703
2.5652,-9.6182,27.836,-47.041
